Run	OUT_Run
SRR13077601	SRR13077601_aqua_Not
SRR22541069	SRR22541069_land_Abundance
SRR15214112	SRR15214112_aqua_Not
SRR2148773	SRR2148773_aqua_Not
SRR9691036	SRR9691036_aqua_Abundance
SRR23684501	SRR23684501_aqua_Abundance
SRR9166105	SRR9166105_land_Not
SRR7976239	SRR7976239_land_Not
ERR2529108	ERR2529108_aqua_Not
SRR16156421	SRR16156421_aqua_Not
SRR13961594	SRR13961594_aqua_Abundance
SRR15947157	SRR15947157_land_Abundance
SRR8357215	SRR8357215_land_Not
SRR2331845	SRR2331845_aqua_Not
SRR9691047	SRR9691047_aqua_Abundance
SRR20242082	SRR20242082_aqua_Abundance
SRR24079477	SRR24079477_aqua_Abundance
SRR14458744	SRR14458744_land_Abundance
SRR1174234	SRR1174234_aqua_Not
SRR6987322	SRR6987322_land_Not
SRR8127591	SRR8127591_land_Abundance
SRR7039830	SRR7039830_aqua_Abundance
SRR8127613	SRR8127613_land_Abundance
SRR5246791	SRR5246791_aqua_Abundance
SRR11734659	SRR11734659_aqua_Abundance
SRR11400154	SRR11400154_aqua_Not
SRR2080300	SRR2080300_land_Not
SRR10968278	SRR10968278_aqua_Abundance
SRR17041392	SRR17041392_land_Abundance
SRR6484323	SRR6484323_land_Abundance
SRR12886642	SRR12886642_aqua_Not
SRR10156264	SRR10156264_aqua_Not
SRR8543786	SRR8543786_land_Not
SRR8127624	SRR8127624_land_Abundance
SRR8127620	SRR8127620_land_Abundance
SRR15530469	SRR15530469_aqua_Abundance
ERR3609915	ERR3609915_land_Not
SRR2333789	SRR2333789_aqua_Not
SRR23985144	SRR23985144_aqua_Not
SRR13816154	SRR13816154_aqua_Abundance
SRR11343824	SRR11343824_aqua_Not
SRR12358727	SRR12358727_aqua_Not
SRR5641139	SRR5641139_aqua_Abundance
ERR4179834	ERR4179834_land_Not
SRR15530476	SRR15530476_aqua_Abundance
SRR21619489	SRR21619489_aqua_Not
SRR23962322	SRR23962322_land_Not
SRR23318464	SRR23318464_aqua_Not
SRR10363842	SRR10363842_land_Abundance
SRR18064546	SRR18064546_aqua_Not
SRR22703658	SRR22703658_land_Abundance
ERR3609914	ERR3609914_land_Not
SRR11516663	SRR11516663_land_Abundance
SRR22541066	SRR22541066_land_Abundance
SRR23272968	SRR23272968_aqua_Abundance
SRR11582145	SRR11582145_aqua_Not
SRR23684564	SRR23684564_aqua_Abundance
SRR8543778	SRR8543778_land_Not
SRR23247694	SRR23247694_land_Not
SRR14511835	SRR14511835_aqua_Abundance
SRR2185659	SRR2185659_aqua_Not
SRR15532678	SRR15532678_aqua_Abundance
SRR5278467	SRR5278467_land_Not
SRR24079453	SRR24079453_aqua_Abundance
SRR13077602	SRR13077602_aqua_Not
SRR16547334	SRR16547334_aqua_Abundance
SRR18106133	SRR18106133_aqua_Not
SRR7754705	SRR7754705_land_Abundance
SRR23135032	SRR23135032_aqua_Not
SRR9166126	SRR9166126_land_Abundance
SRR23725312	SRR23725312_land_Abundance
SRR23684515	SRR23684515_aqua_Abundance
SRR11582166	SRR11582166_aqua_Not
SRR17710024	SRR17710024_land_Abundance
SRR17204938	SRR17204938_land_Abundance
SRR13684273	SRR13684273_aqua_Not
SRR5214705	SRR5214705_aqua_Abundance
SRR6689521	SRR6689521_land_Not
SRR17041391	SRR17041391_land_Abundance
SRR5688572	SRR5688572_land_Abundance
SRR14454013	SRR14454013_aqua_Abundance
SRR6987786	SRR6987786_land_Not
SRR13199767	SRR13199767_aqua_Not
SRR6056321	SRR6056321_land_Not
SRR17036902	SRR17036902_land_Abundance
SRR22541063	SRR22541063_land_Abundance
SRR24202172	SRR24202172_aqua_Abundance
