	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR9166126	1000.0	0.0	6.8792505340728685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.132103850425768	0.0	0.0	0.0	1.2100110314396026	0.0
SRR17204946	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.02786771834852	0.0	0.0	0.0	0.266420787308177	0.0
SRR11086756	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.75683220862553	0.0	0.0	0.0	0.37120158456544466	0.0
SRR6689528	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8449827	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049049806479261805	0.0
SRR6689522	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22315503	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04728096523964117	0.0	0.0	0.0	0.0	0.0
SRR10868565	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10868564	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR7082978	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3336042937227037	0.0	0.0	0.0	0.0	0.0
SRR10363840	1000.0	0.28256037373318765	11.082486401244145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2516464595924575	0.0	0.0	0.22369362920544023	4.155687185910966	0.0
SRR6689527	1000.0	0.0	2.453355743360013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19039924	1000.0	0.0	2.5321363713694507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.641622021439934	0.0	0.0	0.0	1.1140614626889362	0.0
SRR9166111	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.578055964653902	0.0
SRR6485349	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3161234612824506	0.0	0.0	0.0	0.0	0.0
ERR1346531	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10363839	1000.0	0.14943609022556392	11.818346627991298	0.0	0.0	0.3538050734312416	0.0	0.0	0.0	0.0	5.06959981582319	0.0	0.0	0.0	2.7545534307593256	0.0
SRR23913139	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.89273611581856	0.0	0.0	0.0	0.0	0.0
SRR7082966	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4489732616474566	0.0	0.0	0.0	0.0	0.0
SRR9166104	1000.0	0.0	9.999782139822662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.557802515488284	0.0	0.0	0.0	3.5198781655513867	0.0
SRR9166123	1000.0	0.0	3.5391429207029748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.327497029426153	0.0	0.0	0.0	1.2450199203187249	0.0
SRR17204948	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.54074554059294	0.0	0.0	0.0	0.0	0.0
SRR9166118	1000.0	0.0	8.889562340581355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.410419168525188	0.0	0.0	0.0	0.0	0.0
SRR18595300	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05283099418325418	0.0
SRR8449815	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01693399804920342	0.0
SRR12481290	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.602039318016327	0.0	0.0	0.0	0.0	0.0
SRR9016296	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41082619260775	0.0
SRR7082972	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.316245816854275	0.0	0.0	0.0	0.0	0.0
SRR10363842	1000.0	0.3837995492509611	16.780677415642703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.833265138041856	0.0	0.0	0.0	2.281910245206395	0.0
