SAMN31864664	not applicable 	mud volcano 	2014-09-10 	China:Junggar Basin,Aiqigou mud volcano	44.19 N 84.50 E	
SAMEA7723903	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s010 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723903 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s010 	529.0 	259.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.389305 	2.00 	-155.2485 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	10 	
SAMEA7724104	sedge and Metrosideros polymorpha 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s009 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7724104 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T01:23:53Z 	public 	qiita_sid_13114:13114.king.27.s009 	208.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.390167 	2.00 	Bulk_201901_UCSD 	-155.247417 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	9 	2 	
SAMEA7723431	sedge and Metrosideros polymorpha 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Edge2.2.8_10 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s008 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723431 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:02Z 	public 	qiita_sid_13114:13114.king.27.s008 	107.0924589515648 	106.76497130030613 	613.0 	6.810933236289006 	77.63970003 	461.0 	6.445409593 	89.977639342354 	516.0 	6.76152085037342 	56.53001351 	317.0 	6.374315227 	614.0 	6.811323639306133 	king.27.s008 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s008_a03_M_215 	215 	19.390167 	2.00 	Bulk_201901_UCSD 	2A7 	no 	2A7_3_42_king-27-s008-a04 	2A7_3_42_king-27-s008-a04.mzML 	Sample 	Bulk 	-155.247417 	King27.Edge.2.2.8.10 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	9167860.0 	90834.0 	23432.0 	King27.Edge.2.2.8.10 	6.King27.Edge2.2.8_10 	bulk 	Train 	8 	1 	
SAMEA7723430	sedge and Metrosideros polymorpha 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Edge2.1.8_10 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s007 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723430 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:02Z 	public 	qiita_sid_13114:13114.king.27.s007 	71.77917170121509 	71.77917170121509 	451.0 	5.957164157843781 	59.60036650000001 	386.0 	5.785794693 	62.81269652144693 	388.0 	5.956019900259721 	35.75566426 	229.0 	5.716837272 	451.0 	5.957164157843781 	king.27.s007 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s007_a03_M_214 	214 	19.390167 	2.00 	Bulk_201901_UCSD 	2B7 	no 	2B7_3_59_king-27-s007-a04 	2B7_3_59_king-27-s007-a04.mzML 	Sample 	Bulk 	-155.247417 	King27.Edge.2.1.8.10 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	3282101.0 	87151.0 	19807.0 	King27.Edge.2.1.8.10 	6.King27.Edge2.1.8_10 	bulk 	Test 	7 	1 	
SAMEA7724103	sedge 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s006 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7724103 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T01:23:53Z 	public 	qiita_sid_13114:13114.king.27.s006 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.388694 	2.00 	Bulk_201901_UCSD 	-155.249333 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	6 	2 	
SAMEA7723902	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s005 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723902 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s005 	239.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.388694 	1.00 	-155.249333 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	5 	
SAMEA7724102	sedge 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s004 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7724102 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T01:23:53Z 	public 	qiita_sid_13114:13114.king.27.s004 	257.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	EMP_Feces_king_27_s004_a03_M_213 	213 	19.388694 	1.00 	Bulk_201901_UCSD 	-155.249333 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	4 	1 	
SAMEA7723429	sedge 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Edge1.2.0_2 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s003 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723429 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:02Z 	public 	qiita_sid_13114:13114.king.27.s003 	39.48791273206007 	139.0 	5.685761405199331 	king.27.s003 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s003_a03_M_212 	212 	19.388694 	1.00 	Bulk_201901_UCSD 	1A11 	no 	1A11_1_13_king-27-s003-a04 	1A11_1_13_king-27-s003-a04.mzML 	Sample 	Bulk 	-155.249333 	King27.Edge.1.2.0.2 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	1136926.0 	2449.0 	498.0 	King27.Edge.1.2.0.2 	4.King27.Edge1.2.0.2 	bulk 	Test 	3 	1 	
SAMEA7723901	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s002 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723901 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s002 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.388694 	1.00 	-155.249333 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	2 	
SAMEA7723428	sedge 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Edge1.1.0_2 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s001 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723428 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:02Z 	public 	qiita_sid_13114:13114.king.27.s001 	118.6046584453054 	118.6046584453054 	674.0 	6.507998688449567 	87.80589441 	512.0 	6.136791389 	111.74849038008527 	619.0 	6.5217040349947775 	61.14497596 	321.0 	6.046409874 	674.0 	6.507998688449567 	king.27.s001 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s001_a03_M_210 	210 	19.388694 	1.00 	Bulk_201901_UCSD 	1E1 	no 	1E1_1_71_king-27-s001-a04 	1E1_1_71_king-27-s001-a04.mzML 	Sample 	Bulk 	-155.249333 	King27.Edge.1.1.0.2 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	18795908.0 	60933.0 	14208.0 	King27.Edge.1.1.0.2 	2.King27.Edge1.1.0.2 	bulk 	Test 	1 	1 	
