Run,Env,MHET_Abundance
SRR14454021,wetland,2.378288517
SRR10968211,wetland,2.351879548
SRR11837216,wetland,2.34614811
SRR18694244,wetland,2.32776754
SRR9691053,wetland,2.326352235
SRR18694245,wetland,2.299960776
SRR23315092,wetland,2.28660451
SRR19666939,wetland,2.25836777
SRR15677222,wetland,2.250506758
SRR20746688,wetland,2.250247803
SRR20746680,wetland,2.248775917
SRR10968223,wetland,2.206469335
SRR15400731,wetland,2.204595583
SRR18694250,wetland,2.201584608
SRR11734659,wetland,2.198952516
SRR7498056,wetland,2.184721882
SRR15400729,wetland,2.175881456
SRR7497675,wetland,2.170667866
SRR7497722,wetland,2.165748237
SRR23315084,wetland,2.160840852
SRR20746689,wetland,2.1226129
SRR10968148,wetland,2.120433781
SRR18354918,wetland,2.120193011
SRR7499366,wetland,2.100347075
SRR18694238,wetland,2.096644374
SRR5817588,wetland,2.086485527
SRR15400730,wetland,2.085437677
SRR10968274,wetland,2.078064517
SRR18694241,wetland,2.064155543
SRR5476650,wetland,2.062933123
SRR19666936,wetland,2.061565189
SRR11734618,wetland,2.054269501
SRR20746682,wetland,2.014992346
SRR11837389,wetland,2.00876219
SRR8191144,wetland,1.966966927
SRR11837428,wetland,1.962435745
SRR16547335,wetland,1.961953521
SRR10968147,wetland,1.933082291
SRR23315100,wetland,1.932989691
SRR5246790,wetland,1.926452906
SRR9691028,wetland,1.909506457
SRR9691042,wetland,1.905899129
SRR9691037,wetland,1.905421714
SRR8191145,wetland,1.901548843
SRR9691027,wetland,1.893311811
SRR23315101,wetland,1.888456838
SRR20746676,wetland,1.883395077
SRR9691052,wetland,1.878547103
SRR21120501,wetland,1.876889438
SRR12172649,wetland,1.862226071
SRR9691041,wetland,1.859124634
SRR9691059,wetland,1.839805486
SRR17401463,wetland,1.829979658
SRR9691026,wetland,1.820926827
SRR11837300,wetland,1.817838157
SRR11734617,wetland,1.812268527
SRR23315088,wetland,1.811501176
SRR9656207,wetland,1.810593765
SRR10968275,wetland,1.796107159
SRR5476986,wetland,1.769334123
SRR11837391,wetland,1.752989238
SRR9691029,wetland,1.743724552
SRR7497946,wetland,1.717866614
SRR11734648,wetland,1.71408243
SRR5198903,wetland,1.708144111
SRR7497678,wetland,1.70583956
SRR10968149,wetland,1.694311328
SRR11734660,wetland,1.693274957
SRR14454005,wetland,1.685353807
SRR9691038,wetland,1.669818719
SRR5494540,wetland,1.643765306
SRR11837452,wetland,1.638944926
SRR11837467,wetland,1.636549404
SRR5210316,wetland,1.633458498
SRR15532679,wetland,1.631845366
SRR23315098,wetland,1.625530635
SRR5476985,wetland,1.615085131
SRR9691035,wetland,1.614452803
SRR13961592,wetland,1.595841461
SRR11837214,wetland,1.593896957
SRR20746679,wetland,1.585150794
SRR11837301,wetland,1.580264497
SRR11668386,wetland,1.575223767
SRR11837471,wetland,1.572064431
SRR9691056,wetland,1.569580253
SRR11837470,wetland,1.553357942
SRR23315086,wetland,1.545284715
SRR7497679,wetland,1.542866768
SRR7497948,wetland,1.539822388
SRR18694242,wetland,1.538578103
SRR11837390,wetland,1.517566304
SRR11734649,wetland,1.504126385
SRR11837387,wetland,1.502601429
SRR9691018,wetland,1.497974788
SRR11837370,wetland,1.489459637
SRR17401454,wetland,1.48545265
SRR19666941,wetland,1.481600851
SRR11837429,wetland,1.479962852
SRR14454010,wetland,1.451030465
SRR5494549,wetland,1.450712952
SRR12172648,wetland,1.448368969
SRR11837453,wetland,1.444320529
SRR20746677,wetland,1.440501044
SRR7497680,wetland,1.430963344
SRR7498049,wetland,1.429458997
SRR5817589,wetland,1.428462642
SRR9691023,wetland,1.374425829
SRR17541634,wetland,1.367921182
SRR20746687,wetland,1.353623436
SRR15400735,wetland,1.352145848
