Run,Env,PET_Abundance
SRR20746683,wetland,21.28639413
SRR18354917,wetland,19.16794035
SRR9691051,wetland,16.94016548
SRR20746691,wetland,14.66212627
SRR20746679,wetland,13.70772762
SRR20746681,wetland,13.31535144
SRR20746677,wetland,12.98211264
SRR18354918,wetland,12.10886451
SRR9691058,wetland,12.04825495
SRR20746687,wetland,10.7763001
SRR9691057,wetland,10.48304876
SRR20746684,wetland,10.27590613
SRR20746689,wetland,9.542649867
SRR20746680,wetland,8.08788448
SRR9691054,wetland,7.72538942
SRR9691050,wetland,7.670633512
SRR23315100,wetland,7.475159468
SRR9691059,wetland,6.676201314
SRR20746682,wetland,6.391207813
SRR16547337,wetland,6.082502635
SRR23315097,wetland,5.880373282
SRR16547336,wetland,5.844839387
ERR2767290,wetland,5.689042026
SRR23315101,wetland,5.655328622
SRR20746690,wetland,5.448971192
SRR23272968,wetland,5.443219669
SRR16547334,wetland,5.373121696
SRR10968151,wetland,5.356398667
SRR20746696,wetland,5.255513845
SRR23315084,wetland,5.196675883
SRR9691020,wetland,4.744976515
SRR23315092,wetland,4.59311897
SRR18694243,wetland,4.579500149
SRR23315090,wetland,4.25613883
SRR9691033,wetland,4.04070212
SRR20746692,wetland,3.997850687
SRR23315098,wetland,3.922889969
SRR23315087,wetland,3.875341744
SRR10968158,wetland,3.855966631
SRR23315099,wetland,3.702549083
SRR18694236,wetland,3.527959842
SRR9691040,wetland,3.472258032
SRR20746686,wetland,3.451498855
SRR5209945,wetland,3.357814219
SRR16547335,wetland,3.338818389
SRR9691046,wetland,3.301307858
SRR23315085,wetland,3.256926313
SRR23315096,wetland,3.097013279
SRR18694250,wetland,3.077181125
SRR9691060,wetland,3.028553527
SRR20746676,wetland,3.009178891
SRR15400729,wetland,2.931371296
SRR18694249,wetland,2.902614421
SRR18694248,wetland,2.775761342
SRR16547338,wetland,2.76095696
SRR23315088,wetland,2.711561087
SRR23315091,wetland,2.705670137
SRR6047969,wetland,2.690036507
SRR23274338,wetland,2.686383465
SRR18694233,wetland,2.677228877
SRR21120501,wetland,2.579948683
SRR10968223,wetland,2.557801236
SRR9691028,wetland,2.490922411
SRR9691049,wetland,2.456023533
SRR23315086,wetland,2.448562341
SRR9691052,wetland,2.447252103
SRR10968153,wetland,2.432685269
SRR9691056,wetland,2.41343195
SRR18694235,wetland,2.351934891
SRR10968278,wetland,2.3489376
SRR20746698,wetland,2.267687215
SRR9691036,wetland,2.225051123
SRR18694246,wetland,2.162046579
SRR18694244,wetland,2.094868231
SRR23315094,wetland,2.061122957
SRR12418381,wetland,2.0473644
SRR20746694,wetland,2.026969925
SRR9691035,wetland,2.012540855
SRR20746685,wetland,1.944296556
SRR20746678,wetland,1.810184643
SRR5494540,wetland,1.78526391
SRR18694238,wetland,1.712198077
SRR18694240,wetland,1.709733157
SRR19666941,wetland,1.68867515
SRR9691025,wetland,1.676774697
SRR5494301,wetland,1.663919071
SRR9691037,wetland,1.647950915
SRR10968277,wetland,1.530775872
SRR14454011,wetland,1.526939878
SRR19666937,wetland,1.524257018
SRR5210214,wetland,1.500872968
SRR15400734,wetland,1.46350426
SRR19666939,wetland,1.453296106
ERR2767288,wetland,1.412105485
SRR15400736,wetland,1.405349694
SRR10968273,wetland,1.34912001
SRR10968271,wetland,1.334030366
SRR5817585,wetland,1.324156136
SRR9691031,wetland,1.27981141
