	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR6056336	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.56140350877193	0.0	0.0	0.0	0.0	0.0
SRR14517502	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6291789331869668	0.0
SRR8543656	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6988745	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.283464566929133	0.0
SRR6050776	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8314444908387735	0.0	0.0	0.0	3.6360226704450738	0.0
ERR4179826	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8543668	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10143422	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0165026344567054	0.0
SRR8543711	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9330357142857135	0.0
SRR6987409	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.861111111111111	0.0
SRR8543700	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1428571428571415	0.0
SRR6988747	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.702554744525546	0.0
SRR10145185	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.721391174270755	0.0
SRR21860273	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0816541734365426	0.0
SRR21860271	1000.0	0.0	0.22176620945386472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.346590660436859	0.0	0.0	0.0	6.1151392924063535	0.0
SRR4142433	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR4142459	1000.0	0.0	4.186508974828614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.083703204542152	0.0	0.0	0.0	0.42078687144961074	0.0
SRR8543710	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21860274	1000.0	0.0	4.260144336233481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05793319415449	0.0	0.0	0.0	3.2114098248902905	0.0
SRR8543659	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4179832	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21860277	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.933514636402677	0.0	0.0	0.0	4.6878720653178245	0.0
SRR14517501	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
